path,DE_B,DE_IR,DE_OR,FE_B,FE_IR,FE_OR
源域数据集/48kHz Normal/N_0.mat,0,0,0,0,0,0
源域数据集/48kHz Normal/N_1_(1772rpm).mat,0,0,0,0,0,0
源域数据集/48kHz Normal/N_2_(1750rpm).mat,0,0,0,0,0,0
源域数据集/48kHz Normal/N_3.mat,0,0,0,0,0,0
源域数据集/DE/12kHz B/B007_0.mat,1,0,0,0,0,0
源域数据集/DE/12kHz B/B007_1.mat,1,0,0,0,0,0
源域数据集/DE/12kHz B/B007_2.mat,1,0,0,0,0,0
源域数据集/DE/12kHz B/B007_3.mat,1,0,0,0,0,0
源域数据集/DE/12kHz B/B014_0.mat,1,0,0,0,0,0
源域数据集/DE/12kHz B/B014_1.mat,1,0,0,0,0,0
源域数据集/DE/12kHz B/B014_2.mat,1,0,0,0,0,0
源域数据集/DE/12kHz B/B014_3.mat,1,0,0,0,0,0
源域数据集/DE/12kHz B/B021_0.mat,1,0,0,0,0,0
源域数据集/DE/12kHz B/B021_1.mat,1,0,0,0,0,0
源域数据集/DE/12kHz B/B021_2.mat,1,0,0,0,0,0
源域数据集/DE/12kHz B/B021_3.mat,1,0,0,0,0,0
源域数据集/DE/12kHz B/B028_0_(1797rpm).mat,1,0,0,0,0,0
源域数据集/DE/12kHz B/B028_1_(1772rpm).mat,1,0,0,0,0,0
源域数据集/DE/12kHz B/B028_2_(1750rpm).mat,1,0,0,0,0,0
源域数据集/DE/12kHz B/B028_3_(1730rpm).mat,1,0,0,0,0,0
源域数据集/DE/12kHz IR/IR007_0.mat,0,1,0,0,0,0
源域数据集/DE/12kHz IR/IR007_1.mat,0,1,0,0,0,0
源域数据集/DE/12kHz IR/IR007_2.mat,0,1,0,0,0,0
源域数据集/DE/12kHz IR/IR007_3.mat,0,1,0,0,0,0
源域数据集/DE/12kHz IR/IR014_0.mat,0,1,0,0,0,0
源域数据集/DE/12kHz IR/IR014_1.mat,0,1,0,0,0,0
源域数据集/DE/12kHz IR/IR014_2.mat,0,1,0,0,0,0
源域数据集/DE/12kHz IR/IR014_3.mat,0,1,0,0,0,0
源域数据集/DE/12kHz IR/IR021_0.mat,0,1,0,0,0,0
源域数据集/DE/12kHz IR/IR021_1.mat,0,1,0,0,0,0
源域数据集/DE/12kHz IR/IR021_2.mat,0,1,0,0,0,0
源域数据集/DE/12kHz IR/IR021_3.mat,0,1,0,0,0,0
源域数据集/DE/12kHz IR/IR028_0_(1797rpm).mat,0,1,0,0,0,0
源域数据集/DE/12kHz IR/IR028_1_(1772rpm).mat,0,1,0,0,0,0
源域数据集/DE/12kHz IR/IR028_2_(1750rpm).mat,0,1,0,0,0,0
源域数据集/DE/12kHz IR/IR028_3_(1730rpm).mat,0,1,0,0,0,0
源域数据集/DE/12kHz OR/OR007@12_0.mat,0,0,1,0,0,0
源域数据集/DE/12kHz OR/OR007@12_1.mat,0,0,1,0,0,0
源域数据集/DE/12kHz OR/OR007@12_2.mat,0,0,1,0,0,0
源域数据集/DE/12kHz OR/OR007@12_3.mat,0,0,1,0,0,0
源域数据集/DE/12kHz OR/OR007@3_0.mat,0,0,1,0,0,0
源域数据集/DE/12kHz OR/OR007@3_1.mat,0,0,1,0,0,0
源域数据集/DE/12kHz OR/OR007@3_2.mat,0,0,1,0,0,0
源域数据集/DE/12kHz OR/OR007@3_3.mat,0,0,1,0,0,0
源域数据集/DE/12kHz OR/OR007@6_0.mat,0,0,1,0,0,0
源域数据集/DE/12kHz OR/OR007@6_1.mat,0,0,1,0,0,0
源域数据集/DE/12kHz OR/OR007@6_2.mat,0,0,1,0,0,0
源域数据集/DE/12kHz OR/OR007@6_3.mat,0,0,1,0,0,0
源域数据集/DE/12kHz OR/OR014@6_0.mat,0,0,1,0,0,0
源域数据集/DE/12kHz OR/OR014@6_1.mat,0,0,1,0,0,0
源域数据集/DE/12kHz OR/OR014@6_2.mat,0,0,1,0,0,0
源域数据集/DE/12kHz OR/OR014@6_3.mat,0,0,1,0,0,0
源域数据集/DE/12kHz OR/OR021@12_0.mat,0,0,1,0,0,0
源域数据集/DE/12kHz OR/OR021@12_1.mat,0,0,1,0,0,0
源域数据集/DE/12kHz OR/OR021@12_2.mat,0,0,1,0,0,0
源域数据集/DE/12kHz OR/OR021@12_3.mat,0,0,1,0,0,0
源域数据集/DE/12kHz OR/OR021@3_0.mat,0,0,1,0,0,0
源域数据集/DE/12kHz OR/OR021@3_1.mat,0,0,1,0,0,0
源域数据集/DE/12kHz OR/OR021@3_2.mat,0,0,1,0,0,0
源域数据集/DE/12kHz OR/OR021@3_3.mat,0,0,1,0,0,0
源域数据集/DE/12kHz OR/OR021@6_0.mat,0,0,1,0,0,0
源域数据集/DE/12kHz OR/OR021@6_1.mat,0,0,1,0,0,0
源域数据集/DE/12kHz OR/OR021@6_2.mat,0,0,1,0,0,0
源域数据集/DE/12kHz OR/OR021@6_3.mat,0,0,1,0,0,0
源域数据集/DE/48kHz B/B007_0.mat,1,0,0,0,0,0
源域数据集/DE/48kHz B/B007_1.mat,1,0,0,0,0,0
源域数据集/DE/48kHz B/B007_2.mat,1,0,0,0,0,0
源域数据集/DE/48kHz B/B007_3.mat,1,0,0,0,0,0
源域数据集/DE/48kHz B/B014_0.mat,1,0,0,0,0,0
